"TF1","AC","000000000263","000000000082","000000000341","000000000046",,"000000000831"
"TF2","AL","000000001406","000000000756","000000002290","000000000307","000000000012","000000006141"
"TF3","AP","1406","000000000063","000000000161","000000000035",,"000000000570"
"TF4","AM","000000001505","000000000696","000000002335","000000000304","000000000001","000000006240"
"TF5","BA","000000004565","000000002908","000000006912","000000001040","000000000017","000000019297"
"TF6","CE","000000002781","000000001590","000000004839","000000000599","000000000077","000000012257"
"TF7","DF","000000000894","000000000516","000000002423","000000000360",,"000000005531"
"TF8","ES","000000001007","000000000581","000000002345","000000000332","000000000005","000000005585"
"TF9","GO","000000001678","000000000945","000000003527","000000000490","000000000117","000000008530"
"TF10","MA","000000003157","000000001051","000000002961","000000000590","000000000068","000000009177"
"TF11","MT","000000001062","000000000399","000000001478","000000000186","000000000001","000000003667"
"TF12","MS","000000001359","000000000664","000000002195","000000000278","000000000001","000000005500"
"TF13","MG","000000010909","000000007151","000000021415","000000003478","000000000330","000000056060"
"TF14","PA","000000001042","000000000710","000000001078","000000000144","000000000005","000000003931"
"TF15","PB","000000001685","000000000551","000000002055","000000000212","000000000001","000000004836"
"TF16","PR","000000002744","000000001992","000000008479","000000001600","000000000059","000000021022"
"TF17","PE","000000003858","000000002085","000000005458","000000000816","000000000052","000000014968"
"TF18","PI","000000000421","000000000399","000000000844","000000000126","000000000026","000000002592"
"TF19","RJ","000000007907","000000004417","000000012974","000000001940","000000000396","000000031681"
"TF20","RN","000000000885","000000000632","000000001183","000000000216","000000000021","000000003765"
"TF21","RS","000000001629","000000001050","000000003535","000000000595",,"000000008659"
"TF22","RO","000000000994","000000000274","000000001562","000000000184",,"000000003438"
"TF23","RR","000000000027","000000000010","000000000045","000000000004",,"000000000101"
"TF24","SC","000000002407","000000001588","000000005704","000000001050","000000000039","000000014286"
"TF25","SP","000000029389","000000013280","000000047413","000000006714","000000001009","000000113780"
"TF26","SE","000000000576","000000000339","000000000895","000000000158","000000000013","000000002534"
"TF27","TO","000000000726","000000000386","000000001077","000000000144","000000000003","000000003059"
